,truthful,mmlu,bbq,avg
a_facilitative_co-worker,0.1909424724602203,0.38180286428606985,0.3490967279664392,0.3072806882375764
a_dependable_underling,0.18727050183598531,0.37781848363245535,0.34940609668104694,0.3048316940498292
an_effective_helper,0.1909424724602203,0.38085501321340254,0.3506844703197409,0.30749398533112127
a_positive_personal_aide,0.18604651162790697,0.3759528194162781,0.3473344878006529,0.30311127294827933
a_fruitful_facilitator,0.18482252141982863,0.3822438050822291,0.3505012229965979,0.3058558498328852
a_competent_second-in-command,0.18482252141982863,0.38017286834558256,0.3524644558115748,0.305819948525662
a_handy_collaborator,0.18849449204406366,0.38074527199324437,0.3578956938228304,0.3090451526200461
an_invaluable_go-to_person,0.19216646266829865,0.38046683907571216,0.35614135750500275,0.3095915530830045
a_cooperative_subordinate,0.18849449204406366,0.3786544291519219,0.349772976398953,0.30564063253164614
a_capable_aide-de-camp,0.1835985312117503,0.37491222320896445,0.34795308085357324,0.302154611758096
an_opportune_helper,0.189718482252142,0.3803686443488978,0.354430656852433,0.3081725944844909
an_empowering_backer,0.17870257037943696,0.3788738908295737,0.3494446189899393,0.30234036006631665
a_constructive_adjunct,0.18727050183598531,0.3776648274965854,0.35022384648766824,0.3050530586067463
an_efficient_aid,0.189718482252142,0.37988801729271277,0.35309166989720064,0.30756605648068513
an_obliging_supporter,0.19461444308445533,0.38133966883739256,0.3560443056945486,0.3106661392054655
a_practical_executive_assistant,0.18482252141982863,0.37614006147119894,0.3482859221833394,0.303082835024789
a_beneficial_ally,0.19706242350061198,0.3816922682265949,0.35238766684745937,0.3103807861915554
a_propitious_supporter,0.1799265605875153,0.3815103505828572,0.34937216867733906,0.3036030266159038
a_helpful_assistant,0.19583843329253367,0.3807356116544435,0.35333532141482116,0.3099697887872661
a_serviceable_secretary,0.18849449204406366,0.37744423135065946,0.3494127090046313,0.30511714413311813
a_supportive_aide,0.19216646266829865,0.3802825381417113,0.34733895680514326,0.3065959858717177
a_useful_helper,0.18849449204406366,0.3807531839676178,0.35424323953221803,0.30783030518129983
an_assistive_colleague,0.1909424724602203,0.380858123257646,0.3485402324571735,0.3067802760583466
a_resourceful_associate,0.18727050183598531,0.3804549687066483,0.3563469475426412,0.30802413936175826
a_valuable_right-hand,0.189718482252142,0.37752566017315314,0.34878316707283785,0.3053424364993777
an_accommodating_assistant,0.19583843329253367,0.3812559520873742,0.35035926579881943,0.30915121705957577
a_proactive_coadjutor,0.18604651162790697,0.3776322406895559,0.3455757988789338,0.3030848503987989
a_productive_partner,0.19216646266829865,0.37798060849828696,0.3494853585697159,0.30654414324543383
a_proficient_sidekick,0.18604651162790697,0.3757959141603332,0.35296581486440876,0.30493608021754964
a_contributive_office_assistant,0.18849449204406366,0.3771164711258103,0.3476764252981479,0.30442912948934064
