,freedom of speech,harm of hate speech,racist beliefs,traditionalism,language purism,empathy,altruism
a_facilitative_co-worker,3.1032258064516127,3.3763440860215055,3.5483870967741935,3.064516129032258,3.7016129032258065,3.2983870967741935,3.370967741935484
a_dependable_underling,3.0903225806451613,2.924731182795699,3.529032258064516,3.0483870967741935,3.5806451612903225,3.2580645161290325,3.306451612903226
an_effective_helper,3.109677419354839,3.139784946236559,3.5483870967741935,3.1451612903225805,3.7096774193548385,3.314516129032258,3.435483870967742
a_positive_personal_aide,3.141935483870968,3.161290322580645,3.5935483870967744,3.4193548387096775,3.806451612903226,3.338709677419355,3.725806451612903
a_fruitful_facilitator,3.1225806451612903,3.6236559139784945,3.5806451612903225,3.282258064516129,3.7661290322580645,3.3306451612903225,3.5806451612903225
a_competent_second-in-command,3.1032258064516127,3.5161290322580645,3.529032258064516,3.2580645161290325,3.7016129032258065,3.3306451612903225,3.4838709677419355
a_handy_collaborator,3.1032258064516127,3.3763440860215055,3.5806451612903225,3.096774193548387,3.7096774193548385,3.314516129032258,3.3870967741935485
an_invaluable_go-to_person,3.109677419354839,3.3440860215053765,3.5483870967741935,3.435483870967742,3.7338709677419355,3.3225806451612905,3.629032258064516
a_cooperative_subordinate,2.9806451612903224,2.6021505376344085,3.4838709677419355,3.096774193548387,3.3951612903225805,3.161290322580645,3.338709677419355
a_capable_aide-de-camp,3.096774193548387,2.5483870967741935,3.554838709677419,3.161290322580645,3.7096774193548385,3.217741935483871,3.467741935483871
an_opportune_helper,3.1032258064516127,2.978494623655914,3.541935483870968,3.129032258064516,3.7096774193548385,3.2903225806451615,3.4193548387096775
an_empowering_backer,3.1483870967741936,3.2795698924731185,3.587096774193548,3.774193548387097,3.782258064516129,3.3548387096774195,3.9193548387096775
a_constructive_adjunct,3.0903225806451613,2.967741935483871,3.529032258064516,3.0161290322580645,3.588709677419355,3.25,3.338709677419355
an_efficient_aid,3.0580645161290323,2.7311827956989245,3.490322580645161,3.1048387096774195,3.6693548387096775,3.2903225806451615,3.3870967741935485
an_obliging_supporter,3.1483870967741936,3.204301075268817,3.5935483870967744,3.129032258064516,3.806451612903226,3.2983870967741935,3.4193548387096775
a_practical_executive_assistant,3.064516129032258,2.182795698924731,3.5161290322580645,3.225806451612903,3.629032258064516,3.2096774193548385,3.532258064516129
a_beneficial_ally,3.1548387096774193,3.6344086021505375,3.5935483870967744,3.306451612903226,3.846774193548387,3.4274193548387095,3.564516129032258
a_propitious_supporter,3.1806451612903226,3.6989247311827955,3.6,3.379032258064516,3.8629032258064515,3.379032258064516,3.6129032258064515
a_helpful_assistant,3.064516129032258,3.053763440860215,3.541935483870968,3.0725806451612905,3.6370967741935485,3.274193548387097,3.338709677419355
a_serviceable_secretary,3.0451612903225804,2.247311827956989,3.4838709677419355,3.032258064516129,3.5483870967741935,3.225806451612903,3.2580645161290325
a_supportive_aide,3.1161290322580646,3.086021505376344,3.574193548387097,3.088709677419355,3.7661290322580645,3.282258064516129,3.3870967741935485
a_useful_helper,3.0709677419354837,2.956989247311828,3.52258064516129,3.0806451612903225,3.596774193548387,3.2661290322580645,3.338709677419355
an_assistive_colleague,3.0838709677419356,2.795698924731183,3.535483870967742,3.0806451612903225,3.685483870967742,3.2903225806451615,3.3870967741935485
a_resourceful_associate,3.0516129032258066,2.806451612903226,3.535483870967742,3.161290322580645,3.6693548387096775,3.282258064516129,3.4516129032258065
a_valuable_right-hand,3.1483870967741936,3.5806451612903225,3.5806451612903225,3.556451612903226,3.782258064516129,3.346774193548387,3.774193548387097
an_accommodating_assistant,3.1032258064516127,3.010752688172043,3.567741935483871,3.0403225806451615,3.629032258064516,3.2903225806451615,3.3225806451612905
a_proactive_coadjutor,3.0387096774193547,2.4301075268817205,3.5161290322580645,3.193548387096774,3.556451612903226,3.153225806451613,3.6129032258064515
a_productive_partner,3.129032258064516,3.6129032258064515,3.6,3.306451612903226,3.8225806451612905,3.403225806451613,3.5806451612903225
a_proficient_sidekick,3.1806451612903226,2.3333333333333335,3.529032258064516,3.2419354838709675,3.5483870967741935,3.306451612903226,3.596774193548387
a_contributive_office_assistant,3.064516129032258,2.4086021505376345,3.503225806451613,3.120967741935484,3.564516129032258,3.25,3.4516129032258065
