,truthful,mmlu,bbq,avg
a_facilitative_co-worker,0.653610771113831,0.6528072522531695,0.7908256139737956,0.6990812124469321
a_dependable_underling,0.627906976744186,0.6485450781384722,0.729044893023155,0.6684989826352711
an_effective_helper,0.6132190942472461,0.6547797205334964,0.7618714647780791,0.676623426519607
a_positive_personal_aide,0.6217870257037944,0.6471253707411078,0.7421243181607122,0.6703455715352048
a_fruitful_facilitator,0.6254589963280294,0.6562108870704585,0.772676898602004,0.6847822606668306
a_competent_second-in-command,0.6266829865361077,0.6565585476738885,0.767535028959621,0.6835921877232057
a_handy_collaborator,0.6181150550795593,0.6587619488614623,0.7643956620760259,0.6804242220056825
an_invaluable_go-to_person,0.6193390452876377,0.6522998747795982,0.7689590385083622,0.6801993195251995
a_cooperative_subordinate,0.6132190942472461,0.6541578819582236,0.7719253645007265,0.6797674469020653
a_capable_aide-de-camp,0.6083231334149327,0.6574111474027269,0.7678956565506578,0.6778766457894392
an_opportune_helper,0.620563035495716,0.6556751775091588,0.7503905596062093,0.6755429242036947
an_empowering_backer,0.620563035495716,0.6469046597940145,0.7557275373585368,0.6743984108827558
a_constructive_adjunct,0.6340269277845777,0.6518412143348337,0.7690347696322568,0.6849676372505561
an_efficient_aid,0.6034271725826194,0.6587723762819777,0.7613222768722219,0.6745072752456064
an_obliging_supporter,0.6083231334149327,0.6471757796008849,0.7400105128179622,0.66516980861126
a_practical_executive_assistant,0.6364749082007344,0.6551406114834473,0.7757717049766659,0.6891290748869491
a_beneficial_ally,0.6303549571603427,0.656710740091637,0.7569531230936213,0.681339606781867
a_propitious_supporter,0.5569155446756426,0.6442851122053785,0.7209554285789979,0.6407186951533397
a_helpful_assistant,0.6046511627906976,0.6570983084420188,0.7714917338081416,0.6777470683469526
a_serviceable_secretary,0.6193390452876377,0.6517221746974463,0.7729491357410083,0.6813367852420308
a_supportive_aide,0.6438188494492044,0.6554884793818753,0.7690372162787948,0.6894481817032915
a_useful_helper,0.6144430844553244,0.6579297670402,0.7724500872001976,0.6816076462319073
an_assistive_colleague,0.6242350061199511,0.6593827995613446,0.7803669235441557,0.6879949097418171
a_resourceful_associate,0.6107711138310894,0.6554306634743007,0.7740794775114399,0.68009375160561
a_valuable_right-hand,0.6107711138310894,0.6575832873924912,0.7642187608462536,0.6775243873566114
an_accommodating_assistant,0.6254589963280294,0.6562291962419967,0.7848227864879793,0.6888369930193351
a_proactive_coadjutor,0.616891064871481,0.6528682800859488,0.7656805658677946,0.6784799702750748
a_productive_partner,0.6144430844553244,0.6543367708810245,0.7699976741366774,0.6795925098243419
a_proficient_sidekick,0.5936352509179926,0.6522800817809512,0.7424937356820296,0.6628030227936578
a_contributive_office_assistant,0.6193390452876377,0.6510136702265467,0.7733169487919431,0.6812232214353758
