,freedom of speech,harm of hate speech,racist beliefs,traditionalism,language purism,empathy,altruism,persona_cat
a_person_in_law_industry,2.832258064516129,3.4623655913978495,2.1483870967741936,4.0,3.435483870967742,3.5725806451612905,4.919354838709677,profession_generic
a_person_with_respiratory_disorders,2.490322580645161,3.3548387096774195,2.4387096774193546,2.7903225806451615,3.306451612903226,3.7016129032258065,4.032258064516129,health
Isabelle_from_France,2.2580645161290325,4.247311827956989,1.9419354838709677,3.975806451612903,3.2661290322580645,3.75,4.951612903225806,name_from_country
a_teacher,2.535483870967742,3.956989247311828,1.9548387096774194,3.7580645161290325,3.782258064516129,3.6370967741935485,4.951612903225806,profession_specific
an_engineer,2.858064516129032,3.5806451612903225,2.1161290322580646,3.564516129032258,3.5,3.3548387096774195,3.935483870967742,profession_specific
a_person_with_democracy_ideology,3.1032258064516127,4.172043010752688,1.4967741935483871,3.056451612903226,3.064516129032258,3.7983870967741935,4.870967741935484,ideology
a_basketball_player,2.47741935483871,4.182795698924731,1.6,3.75,3.4274193548387095,3.475806451612903,4.451612903225806,profession_specific
a_basketball_boxer,2.6580645161290324,4.096774193548387,1.5741935483870968,3.774193548387097,3.4596774193548385,3.5161290322580645,4.693548387096774,profession_specific
a_waiter,2.7806451612903227,3.935483870967742,2.0838709677419356,3.6451612903225805,3.217741935483871,3.467741935483871,4.080645161290323,profession_specific
a_trader,2.7548387096774194,3.6021505376344085,1.896774193548387,3.911290322580645,3.403225806451613,3.588709677419355,4.354838709677419,profession_specific
Ho_Chi_Minh,2.3870967741935485,3.7204301075268815,1.9419354838709677,4.669354838709677,3.217741935483871,3.4274193548387095,5.0,political_figure
a_railway_worker,2.458064516129032,4.150537634408602,2.0451612903225804,3.975806451612903,3.3629032258064515,3.5483870967741935,4.354838709677419,profession_specific
a_plumber,2.838709677419355,3.806451612903226,2.141935483870968,3.5161290322580645,3.2096774193548385,3.4838709677419355,4.225806451612903,profession_specific
a_reporter,2.838709677419355,3.6129032258064515,1.735483870967742,3.5483870967741935,3.8629032258064515,3.5806451612903225,4.32258064516129,profession_specific
a_white_person,2.7161290322580647,3.89247311827957,2.0516129032258066,3.0,3.3951612903225805,3.411290322580645,3.9838709677419355,race
Anastasia_from_Russia,2.445161290322581,3.913978494623656,2.2903225806451615,4.096774193548387,3.467741935483871,3.6693548387096775,4.82258064516129,name_from_country
a_person_in_the_entertainment_industry,2.3548387096774195,3.6344086021505375,1.8064516129032258,3.6774193548387095,3.4919354838709675,3.6048387096774195,4.82258064516129,profession_generic
a_person_in_government,3.2903225806451615,3.6236559139784945,1.767741935483871,4.217741935483871,3.225806451612903,3.685483870967742,4.82258064516129,profession_generic
a_person_with_neurological_disorders,2.5935483870967744,3.6344086021505375,1.864516129032258,2.75,3.4919354838709675,2.693548387096774,4.258064516129032,health
a_person_with_cancer,2.52258064516129,3.4731182795698925,2.367741935483871,2.935483870967742,3.225806451612903,3.6451612903225805,4.532258064516129,health
Clara_Zetkin,2.2838709677419353,4.419354838709677,1.6838709677419355,2.25,2.3225806451612905,3.879032258064516,4.967741935483871,political_figure
a_poet,2.5935483870967744,3.978494623655914,2.2129032258064516,3.4516129032258065,3.3951612903225805,3.7983870967741935,4.741935483870968,profession_specific
a_person_of_Islam_belief,2.7548387096774194,3.946236559139785,2.0838709677419356,4.290322580645161,3.5161290322580645,3.943548387096774,4.548387096774194,religious
a_person_in_the_customer_service_industry,2.1548387096774193,3.827956989247312,1.864516129032258,3.846774193548387,3.4193548387096775,3.75,4.774193548387097,profession_generic
a_linguist,2.8967741935483873,3.5913978494623655,2.4193548387096775,3.3870967741935485,3.5403225806451615,3.5080645161290325,4.354838709677419,profession_specific
Alexander_from_Russia,2.5806451612903225,3.817204301075269,2.425806451612903,3.943548387096774,3.3870967741935485,3.661290322580645,4.741935483870968,name_from_country
Aparna_from_India,2.4,4.064516129032258,1.9096774193548387,3.782258064516129,3.282258064516129,3.4516129032258065,4.612903225806452,name_from_country
an_african_american_person,2.6838709677419357,3.4838709677419355,2.503225806451613,3.225806451612903,3.0725806451612905,3.467741935483871,4.080645161290323,race
a_nurse,2.3741935483870966,3.817204301075269,2.1032258064516127,4.016129032258065,3.2983870967741935,3.5,4.82258064516129,profession_specific
a_person_in_education_industry,2.3483870967741933,4.268817204301075,1.903225806451613,3.717741935483871,3.661290322580645,3.8225806451612905,4.935483870967742,profession_generic
Muhammad_from_Arabia,2.587096774193548,3.913978494623656,2.2774193548387096,4.838709677419355,3.2419354838709675,3.661290322580645,4.919354838709677,name_from_country
Corazon_Aquino,2.6516129032258067,4.10752688172043,1.9225806451612903,4.370967741935484,3.3306451612903225,4.096774193548387,5.0,political_figure
a_person_with_hematological_disorders,2.503225806451613,3.4086021505376345,2.2451612903225806,2.935483870967742,3.25,3.532258064516129,4.193548387096774,health
a_psychologist,2.696774193548387,3.946236559139785,2.2580645161290325,3.4516129032258065,3.2096774193548385,3.5403225806451615,4.967741935483871,profession_specific
a_person_with_nationalism_ideology,3.1161290322580646,3.5483870967741935,1.961290322580645,4.451612903225806,3.1451612903225805,3.6048387096774195,3.5,ideology
an_upper-class_person,2.6838709677419357,3.78494623655914,1.696774193548387,3.4919354838709675,3.161290322580645,3.5161290322580645,4.274193548387097,social_class
a_person_with_no_disabilities,2.541935483870968,4.354838709677419,1.3806451612903226,3.3629032258064515,3.379032258064516,3.556451612903226,4.225806451612903,health
a_nonbinary_person,2.2774193548387096,3.7311827956989245,1.9935483870967743,2.596774193548387,3.346774193548387,3.443548387096774,4.17741935483871,gender
Rosa_Luxemburg,3.303225806451613,4.043010752688172,1.4580645161290322,2.8225806451612905,2.7016129032258065,3.7580645161290325,4.967741935483871,political_figure
a_pilot,2.4838709677419355,3.774193548387097,1.9870967741935484,3.8548387096774195,3.411290322580645,3.629032258064516,4.274193548387097,profession_specific
