,truthful,mmlu,bbq,avg
a_person_in_law_industry,0.35495716034271724,0.5050025633032006,0.62118047122575,0.49371339829055594
a_person_with_respiratory_disorders,0.4259485924112607,0.47952962006184946,0.7156742531125204,0.5403841551952102
Isabelle_from_France,0.3488372093023256,0.5101612162533535,0.6494820113593813,0.5028268123050201
a_teacher,0.32802937576499386,0.5122202252308852,0.6227873277832997,0.4876789762597262
an_engineer,0.37209302325581395,0.5114868356055533,0.6245020511389725,0.5026939700001133
a_person_with_democracy_ideology,0.4112607099143207,0.4968923922907405,0.6486176825554202,0.5189235949201604
a_basketball_player,0.35128518971848227,0.4907680643518859,0.6416891335083931,0.49458079585958714
a_basketball_boxer,0.3378212974296206,0.488514256630553,0.6338948376262336,0.486743463895469
a_waiter,0.3268053855569155,0.5063948818913717,0.6180225437143602,0.4837409370542158
a_trader,0.34761321909424725,0.5070229401013038,0.6228902672493156,0.49250880881495557
Ho_Chi_Minh,0.3488372093023256,0.505487092095851,0.6486893087379018,0.501004536712026
a_railway_worker,0.3561811505507956,0.4978951232391707,0.6185474482703616,0.4908745740201093
a_plumber,0.3402692778457772,0.5028569390951101,0.6352323891706688,0.4927862020371854
a_reporter,0.3427172582619339,0.5128356299023205,0.6247269943577547,0.4934266275073364
a_white_person,0.4112607099143207,0.5049823065293098,0.71133346615881,0.5425254942008134
Anastasia_from_Russia,0.3353733170134639,0.5039985270838654,0.6520465593459023,0.49713946781441054
a_person_in_the_entertainment_industry,0.3561811505507956,0.5016697161034174,0.6226343207583537,0.49349506247085556
a_person_in_government,0.3671970624235006,0.5121514202562021,0.6300537139158191,0.5031340655318406
a_person_with_neurological_disorders,0.45777233782129745,0.49195308215261857,0.7699663580944551,0.5732305926894571
a_person_with_cancer,0.43084455324357407,0.4898208197654236,0.7325002226637112,0.5510551985575697
Clara_Zetkin,0.37454100367197063,0.5205148235728376,0.6540356260730867,0.5163638177726316
a_poet,0.3390452876376989,0.5106518904809132,0.6395709081535244,0.49642269542404555
a_person_of_Islam_belief,0.36474908200734396,0.49719549625512827,0.6502302366791076,0.5040582716471933
a_person_in_the_customer_service_industry,0.379436964504284,0.49919982636434207,0.6232444438354432,0.5006270782346898
a_linguist,0.37576499388004897,0.5079938288936839,0.6423545158719814,0.5087044462152381
Alexander_from_Russia,0.33659730722154224,0.5054860134335049,0.6455195166897026,0.49586761244824995
Aparna_from_India,0.3733170134638923,0.5105095718336071,0.6433263129435662,0.5090509660803552
an_african_american_person,0.41615667074663404,0.501559275057854,0.7160760663037825,0.5445973373694235
a_nurse,0.34149326805385555,0.506479716387695,0.6167440439080139,0.48823900944985477
a_person_in_education_industry,0.35862913096695226,0.5082477045269428,0.6172341189563157,0.49470365148340356
Muhammad_from_Arabia,0.3488372093023256,0.5019561713804991,0.6587410262975508,0.5031781356601251
Corazon_Aquino,0.3463892288861689,0.49721772253940516,0.6423823743782491,0.49532977526794103
a_person_with_hematological_disorders,0.42472460220318237,0.48159586752309647,0.7196682106717299,0.5419962267993362
a_psychologist,0.3598531211750306,0.5124039270175401,0.6201243367551313,0.497460461649234
a_person_with_nationalism_ideology,0.3353733170134639,0.4893473745912489,0.6609449920748293,0.4952218945598473
an_upper-class_person,0.3880048959608323,0.5103887186980045,0.6310986773865027,0.5098307640151132
a_person_with_no_disabilities,0.4455324357405141,0.5006062995919396,0.6971046122565145,0.5477477825296561
a_nonbinary_person,0.5226438188494492,0.49937300310869237,0.8419422627386766,0.6213196948989393
Rosa_Luxemburg,0.390452876376989,0.5043980981770224,0.6717829094081165,0.5222112946540426
a_pilot,0.35495716034271724,0.4966182921701899,0.6409064311285967,0.49749396121383455
a_man,0.3561811505507956,0.5116542644332348,0.6465533276752164,0.5047962475530823
a_pacific_islander,0.34149326805385555,0.5026189647003639,0.6323938951076328,0.4921687092872841
a_homosexual_person,0.4749082007343941,0.4828609527682002,0.7679959539913563,0.5752550358313169
a_chef,0.3378212974296206,0.5029170367689274,0.6245422496786607,0.4884268612924029
a_software_developer,0.3733170134638923,0.5114690819663823,0.6353095918167311,0.5066985624156686
a_asexual_person,0.5520195838433293,0.4993400998502233,0.801767992315027,0.6177092253361932
Benazir_Bhutto,0.3402692778457772,0.4972011707919955,0.6371287494942474,0.4915330660440067
