,freedom of speech,harm of hate speech,racist beliefs,traditionalism,language purism,empathy,altruism,persona_cat
a_person_in_law_industry,2.587096774193548,3.967741935483871,2.3483870967741933,3.693548387096774,3.653225806451613,3.6048387096774195,4.5,profession_generic
a_person_with_respiratory_disorders,2.703225806451613,2.6559139784946235,2.490322580645161,3.2419354838709675,2.3629032258064515,3.0483870967741935,3.870967741935484,health
Isabelle_from_France,2.5612903225806454,3.4408602150537635,2.4,3.532258064516129,3.7903225806451615,4.040322580645161,4.0,name_from_country
a_teacher,2.567741935483871,3.6344086021505375,2.393548387096774,3.564516129032258,3.870967741935484,3.8951612903225805,4.387096774193548,profession_specific
an_engineer,2.574193548387097,3.204301075268817,2.4,3.5080645161290325,3.8306451612903225,3.8951612903225805,4.080645161290323,profession_specific
a_person_with_democracy_ideology,2.735483870967742,3.2795698924731185,2.335483870967742,3.2661290322580645,3.5161290322580645,3.629032258064516,4.032258064516129,ideology
a_basketball_player,2.470967741935484,2.978494623655914,2.47741935483871,3.3951612903225805,3.685483870967742,3.8548387096774195,4.0,profession_specific
a_basketball_boxer,2.458064516129032,3.053763440860215,2.4193548387096775,3.411290322580645,3.911290322580645,3.717741935483871,4.0,profession_specific
a_waiter,2.664516129032258,3.4838709677419355,2.4,3.556451612903226,3.806451612903226,3.943548387096774,4.0,profession_specific
a_trader,2.7096774193548385,2.849462365591398,2.412903225806452,3.4516129032258065,3.1129032258064515,3.3870967741935485,3.8870967741935485,profession_specific
Ho_Chi_Minh,2.5806451612903225,3.032258064516129,2.393548387096774,3.532258064516129,3.4516129032258065,3.814516129032258,4.564516129032258,political_figure
a_railway_worker,2.303225806451613,3.2580645161290325,2.4193548387096775,3.629032258064516,3.7016129032258065,3.9274193548387095,4.032258064516129,profession_specific
a_plumber,2.470967741935484,3.236559139784946,2.432258064516129,3.620967741935484,3.717741935483871,3.935483870967742,4.0,profession_specific
a_reporter,2.7225806451612904,3.903225806451613,2.393548387096774,3.5483870967741935,3.8951612903225805,3.8306451612903225,4.483870967741935,profession_specific
a_white_person,2.92258064516129,3.3870967741935485,2.9935483870967743,3.2096774193548385,3.4838709677419355,3.475806451612903,3.4838709677419355,race
