,truthful,mmlu,bbq,avg
a_person_in_law_industry,0.8200734394124847,0.8079640055074507,0.8524213572784771,0.8268196007328042
a_person_with_respiratory_disorders,0.8102815177478581,0.8043105180459512,0.8783061552055684,0.8309660636664592
Isabelle_from_France,0.7980416156670747,0.8041829675952978,0.8779420664112372,0.8267222165578699
a_teacher,0.828641370869033,0.8081643252811627,0.8681174547295625,0.834974383626586
an_engineer,0.835985312117503,0.8080572917999364,0.8642782457448527,0.8361069498874306
a_person_with_democracy_ideology,0.8151774785801713,0.8033505900651974,0.8567742314586235,0.8251007667013308
a_basketball_player,0.8090575275397797,0.8036277001261888,0.8792044822776335,0.830629903314534
a_basketball_boxer,0.813953488372093,0.8017239184199163,0.8810663619652191,0.8322479229190761
a_waiter,0.8102815177478581,0.8027489073001023,0.8750843526500462,0.8293715925660022
a_trader,0.8127294981640147,0.8089314485678534,0.8753574508169404,0.8323394658496029
Ho_Chi_Minh,0.8127294981640147,0.8047238917187897,0.8737732503614661,0.8304088800814236
a_railway_worker,0.8151774785801713,0.8029118452813657,0.8708256688184239,0.8296383308933203
a_plumber,0.8200734394124847,0.8052345704597555,0.8703694433454947,0.8318924844059117
a_reporter,0.8310893512851897,0.8060391545033284,0.86185262395503,0.832993709914516
a_white_person,0.8127294981640147,0.8035463348421673,0.8688351273220496,0.8283703201094106
Anastasia_from_Russia,0.7858017135862914,0.8059254387153217,0.8772645217341787,0.8229972246785974
a_person_in_the_entertainment_industry,0.802937576499388,0.8063878051864614,0.8673805965914778,0.8255686594257757
a_person_in_government,0.8323133414932681,0.8052219452073515,0.8624778119929761,0.8333376995645319
a_person_with_neurological_disorders,0.8212974296205631,0.8031818462231569,0.8720315796215987,0.8321702851551063
a_person_with_cancer,0.8115055079559363,0.8056566012704027,0.8791264288778744,0.8320961793680711
Clara_Zetkin,0.8274173806609547,0.8029886509099061,0.8643441255242311,0.831583385698364
a_poet,0.802937576499388,0.7977463231972843,0.8703575646359831,0.8236804881108851
a_person_of_Islam_belief,0.8310893512851897,0.8019136203985524,0.8694750978116073,0.8341593564984499
a_person_in_the_customer_service_industry,0.8090575275397797,0.8062833109476865,0.8651854711876432,0.8268421032250365
a_linguist,0.8200734394124847,0.8055276071992749,0.8848675214199719,0.8368228560105772
Alexander_from_Russia,0.795593635250918,0.8062651331490133,0.8817361898386956,0.8278649860795423
Aparna_from_India,0.7943696450428397,0.8066024802503872,0.8781640594992685,0.8263787282641651
an_african_american_person,0.799265605875153,0.8001735759591999,0.8751898904155142,0.8248763574166224
a_nurse,0.824969400244798,0.8090293497465717,0.8656077409297224,0.833202163640364
a_person_in_education_industry,0.8212974296205631,0.8075037444891113,0.8664544577291473,0.8317518772796072
Muhammad_from_Arabia,0.795593635250918,0.8041765700091809,0.879423925273608,0.8263980435112357
Corazon_Aquino,0.7796817625458996,0.795382070600569,0.8568373838614252,0.8106337390026312
a_person_with_hematological_disorders,0.8200734394124847,0.8044827054957268,0.8699972966960197,0.8315178138680771
a_psychologist,0.8396572827417381,0.8042041939259902,0.8271473835824124,0.8236696200833803
a_person_with_nationalism_ideology,0.7906976744186046,0.8001071275286069,0.8748295778728137,0.8218781266066751
an_upper-class_person,0.8115055079559363,0.8044106732705064,0.8752043329857566,0.8303735047373998
