,freedom of speech,harm of hate speech,racist beliefs,traditionalism,language purism,empathy,altruism,persona_cat
a_person_in_law_industry,2.587096774193548,4.967741935483871,1.1483870967741936,4.225806451612903,4.217741935483871,4.201612903225806,5.0,profession_generic
a_person_with_respiratory_disorders,2.225806451612903,5.0,1.1935483870967742,4.016129032258065,3.6774193548387095,4.241935483870968,4.967741935483871,health
Isabelle_from_France,2.335483870967742,4.978494623655914,1.167741935483871,4.016129032258065,3.903225806451613,4.580645161290323,4.838709677419355,name_from_country
a_teacher,2.2903225806451615,4.924731182795699,1.2,3.9838709677419355,4.120967741935484,4.282258064516129,4.870967741935484,profession_specific
an_engineer,2.4516129032258065,4.860215053763441,1.3096774193548386,3.75,3.693548387096774,3.725806451612903,4.483870967741935,profession_specific
a_person_with_democracy_ideology,2.735483870967742,5.0,1.0,3.75,3.6451612903225805,4.330645161290323,4.983870967741935,ideology
a_basketball_player,2.445161290322581,4.967741935483871,1.1870967741935483,4.048387096774194,3.620967741935484,4.032258064516129,4.596774193548387,profession_specific
a_basketball_boxer,2.3806451612903228,4.903225806451613,1.2838709677419355,3.9838709677419355,3.7580645161290325,4.080645161290323,4.758064516129032,profession_specific
a_waiter,2.9290322580645163,3.967741935483871,1.961290322580645,3.9838709677419355,3.5403225806451615,3.7016129032258065,4.306451612903226,profession_specific
a_trader,2.509677419354839,4.838709677419355,1.3483870967741935,3.943548387096774,3.7661290322580645,3.814516129032258,4.193548387096774,profession_specific
Ho_Chi_Minh,2.9741935483870967,3.021505376344086,2.432258064516129,4.032258064516129,3.1048387096774195,3.5806451612903225,4.983870967741935,political_figure
a_railway_worker,2.4387096774193546,4.946236559139785,1.4516129032258065,4.0,3.5806451612903225,3.870967741935484,4.258064516129032,profession_specific
a_plumber,2.8645161290322583,4.333333333333333,2.1548387096774193,3.967741935483871,3.5725806451612905,3.653225806451613,4.258064516129032,profession_specific
a_reporter,2.8129032258064517,3.7419354838709675,2.0903225806451613,3.838709677419355,4.0,3.725806451612903,4.145161290322581,profession_specific
a_white_person,2.496774193548387,4.741935483870968,1.4967741935483871,3.6774193548387095,3.5161290322580645,3.588709677419355,4.403225806451613,race
Anastasia_from_Russia,2.4387096774193546,4.903225806451613,1.3290322580645162,4.07258064516129,4.008064516129032,4.548387096774194,4.758064516129032,name_from_country
a_person_in_the_entertainment_industry,2.4064516129032256,4.870967741935484,1.1225806451612903,4.008064516129032,4.07258064516129,4.129032258064516,4.661290322580645,profession_generic
a_person_in_government,2.6774193548387095,4.881720430107527,1.1806451612903226,4.0,3.9596774193548385,4.064516129032258,4.693548387096774,profession_generic
a_person_with_neurological_disorders,2.206451612903226,5.0,1.206451612903226,3.846774193548387,3.556451612903226,4.17741935483871,4.887096774193548,health
